grapheme,ground_truth_phoneme,predicted_phoneme,model
bent,bˈɛnt,The General American English phonemic transcription for 'bent' is /bɛnt/.,gpt-4o
bethany,bˈɛθəni,The General American English phonemic transcription for 'bethany' is /ˈbɛθəni/.,gpt-4o
bid,bˈɪd,/bɪd/,gpt-4o
bidding,bˈɪdɪŋ,/bɪdɪŋ/,gpt-4o
bids,bˈɪdz,/bɪdz/,gpt-4o
biker,bˈaɪkɚ,/ˈbaɪkɹ̩/,gpt-4o
bingo,bˈɪŋgoʊ,The General American English phonemic transcription for 'bingo' is /ˈbɪŋɡoʊ/.,gpt-4o
bird,bˈɚd,/bɝd/,gpt-4o
birds,bˈɚdz,The General American English phonemic transcription for 'birds' is /bɝdz/.,gpt-4o
blair,blˈɛɹ,/blɛɹ/,gpt-4o
blazer,blˈeɪzɚ,/blˈeɪzɹ̩/,gpt-4o
blew,blˈuː,/blu/,gpt-4o
bling,blˈaɪn,The General American English phonemic transcription for 'bling' is /blɪŋ/.,gpt-4o
bliss,blˈɪs,/blɪs/,gpt-4o
blitz,blˈɪts,/blɪts/,gpt-4o
blow,blˈoʊ,/bloʊ/,gpt-4o
blown,blˈoʊn,The General American English phonemic transcription for 'blown' is /bloʊn/.,gpt-4o
blows,blˈoʊz,The General American English phonemic transcription for 'blows' is /bloʊz/.,gpt-4o
bondage,bˈɑːndɪdʒ,The General American English phonemic transcription for 'bondage' is /ˈbɑndɪdʒ/.,gpt-4o
bonus,bˈoʊnəs,/ˈboʊnəs/,gpt-4o
boone,bˈuːn,/bun/,gpt-4o
boot,bˈuːt,/but/,gpt-4o
boots,bˈuːts,/buts/,gpt-4o
bordeaux,bɔɹdˈoʊ,/bɔɹˈdoʊ/,gpt-4o
border,bˈɔːɹdɚ,The General American English phonemic transcription for 'border' is /ˈbɔɹdɚ/.,gpt-4o
borders,bˈɔːɹdɚz,The General American English phonemic transcription for 'borders' is /ˈbɔɹdɚz/.,gpt-4o
born,bˈɔːɹn,/bɔɹn/,gpt-4o
bottom,bˈɑːtəm,The General American English phonemic transcription for 'bottom' is /ˈbɑɾəm/.,gpt-4o
bottoms,bˈɑːtəmz,/ˈbɑtəmz/,gpt-4o
box,bˈɑːks,The General American English phonemic transcription for 'box' is /bɑks/.,gpt-4o
boxes,bˈɑːksəz,The General American English phonemic transcription for 'boxes' is /ˈbɑksɪz/.,gpt-4o
boxing,bˈɑːksɪŋ,/ˈbɑksɪŋ/,gpt-4o
brass,bɹˈæs,/bræs/,gpt-4o
breeze,bɹˈiːz,The General American English phonemic transcription for 'breeze' is /bɹiz/.,gpt-4o
brett,bɹˈɛt,/bɹɛt/,gpt-4o
brewing,bɹˈuːɪŋ,The General American English phonemic transcription for 'brewing' is /ˈbɹuɪŋ/.,gpt-4o
bridal,bɹˈaɪdəl,The General American English phonemic transcription for 'bridal' is /ˈbɹaɪdəl/.,gpt-4o
brigade,bɹəgˈeɪd,/brɪˈɡeɪd/,gpt-4o
brit,bɹˈɪt,The General American English phonemic transcription for 'brit' is /bɹɪt/.,gpt-4o
broker,bɹˈoʊkɚ,/bɹoʊkɚ/,gpt-4o
brotherhood,bɹˈʌðɚhˌʊd,The General American English phonemic transcription for 'brotherhood' is /ˈbɹʌðɚˌhʊd/.,gpt-4o
brutal,bɹˈuːtəl,/brutl̩/,gpt-4o
bulk,bˈʌlk,/bʌlk/,gpt-4o
bunny,bˈʌni,The General American English phonemic transcription for 'bunny' is /ˈbʌni/.,gpt-4o
burst,bˈɚst,/bɝst/,gpt-4o
bursting,bˈɚstɪŋ,The General American English phonemic transcription for 'bursting' is /ˈbɝstɪŋ/.,gpt-4o
burundi,bɚˈʌndi,/bəˈɹʊndi/,gpt-4o
businesses,bˈɪznəsəz,The General American English phonemic transcription for 'businesses' is /ˈbɪznəsɪz/.,gpt-4o
but,bˈʌt,/bʌt/,gpt-4o
by,bˈaɪ,The General American English phonemic transcription for 'by' is /baɪ/.,gpt-4o
bye,bˈaɪ,/baɪ/,gpt-4o
bypass,bˈaɪpˌæs,/ˈbaɪˌpæs/,gpt-4o
cafe,kəfˈeɪ,/kæˈfeɪ/,gpt-4o
calculator,kˈælkjəlˌeɪtɚ,/ˈkælkjəˌleɪtɚ/,gpt-4o
calibration,kˌæləbɹˈeɪʃən,/kæləˈbɹeɪʃən/,gpt-4o
caller,kˈɔːlɚ,The General American English phonemic transcription for 'caller' is /ˈkɔlɚ/.,gpt-4o
calorie,kˈælɚi,/kæləri/,gpt-4o
cambridge,kˈeɪmbɹɪdʒ,/kˈeɪmbrɪdʒ/,gpt-4o
came,kˈeɪm,The General American English phonemic transcription for 'came' is /keɪm/.,gpt-4o
capital,kˈæpətəl,/ˈkæpɪtəl/,gpt-4o
catalyst,kˈætələst,The General American English phonemic transcription for 'catalyst' is /ˈkætəlɪst/.,gpt-4o
cautious,kˈɔːʃəs,The General American English phonemic transcription for 'cautious' is /ˈkɔʃəs/.,gpt-4o
cd,sˈiːdˈiː,"The General American English phonemic transcription for 'cd' (as in the abbreviation for ""compact disc"") is /ˌsiˈdi/.",gpt-4o
cecilia,sɪsˈiːljə,/səˈsɪliə/,gpt-4o
centennial,sɛntˈɛniəl,/sɛnˈtɛniəl/,gpt-4o
centre,sˈɛntɚ,The General American English phonemic transcription for 'centre' is /ˈsɛntɚ/.,gpt-4o
centres,sˈɛntɚz,The General American English phonemic transcription for 'centres' is /ˈsɛntɚz/.,gpt-4o
certainty,sˈɚtənti,/ˈsɝtnti/,gpt-4o
chang,tʃˈæŋ,"The word 'chang' does not have a standard pronunciation in General American English as it is not a common English word. However, if we assume it is pronounced similarly to the common English word 'change' without the final /dʒ/ sound, the transcription would be /tʃæŋ/.",gpt-4o
characteristic,kˌɛɹəktɚˈɪstɪk,/ˌkɛɹɪktəˈɹɪstɪk/,gpt-4o
chat,tʃˈæt,The General American English phonemic transcription for 'chat' is /tʃæt/.,gpt-4o
chats,tʃˈæts,/tʃæts/,gpt-4o
chatting,tʃˈætɪŋ,/ˈtʃætɪŋ/,gpt-4o
cheat,tʃˈiːt,/tʃit/,gpt-4o
cheating,tʃˈiːtɪŋ,/ˈtʃitɪŋ/,gpt-4o
cheats,tʃˈiːts,/tʃits/,gpt-4o
chef,ʃˈɛf,/ʃɛf/,gpt-4o
chest,tʃˈɛst,The General American English phonemic transcription for 'chest' is /tʃɛst/.,gpt-4o
chests,tʃˈɛsts,/tʃɛsts/,gpt-4o
chevron,ʃˈɛvɹən,/ˈʃɛvɹən/,gpt-4o
chic,ʃˈiːk,/ʃik/,gpt-4o
chicken,tʃˈɪkən,/ˈtʃɪkən/,gpt-4o
chickens,tʃˈɪkənz,/ˈtʃɪkənz/,gpt-4o
chrome,kɹˈoʊm,The General American English phonemic transcription for 'chrome' is /kɹoʊm/.,gpt-4o
clash,klˈæʃ,The General American English phonemic transcription for 'clash' is /klæʃ/.,gpt-4o
clearance,klˈɪɹəns,/ˈklɪɹəns/,gpt-4o
climax,klˈaɪmˌæks,/ˈklaɪmæks/,gpt-4o
clinton,klˈɪntən,/ˈklɪntən/,gpt-4o
cloves,klˈoʊvz,The General American English phonemic transcription for 'cloves' is /kloʊvz/.,gpt-4o
clutter,klˈʌtɚ,The General American English phonemic transcription for 'clutter' is /ˈklʌtɚ/.,gpt-4o
coalition,kˌoʊəlˈɪʃən,/ˌkoʊəˈlɪʃən/,gpt-4o
code,kˈoʊd,The General American English phonemic transcription for 'code' is /koʊd/.,gpt-4o
codes,kˈoʊdz,/kodz/,gpt-4o
col,kˈoʊl,/kɑl/,gpt-4o
cole,kˈoʊl,The General American English phonemic transcription for 'cole' is /koʊl/.,gpt-4o
colleague,kˈɑːlig,The General American English phonemic transcription for 'colleague' is /ˈkɑliɡ/.,gpt-4o
colleagues,kˈɑːligz,The General American English phonemic transcription for 'colleagues' is /ˈkɑliɡz/.,gpt-4o
collected,kəlˈɛktəd,The General American English phonemic transcription for 'collected' is /kəˈlɛktɪd/.,gpt-4o
collecting,kəlˈɛktɪŋ,/kəˈlɛktɪŋ/,gpt-4o
color,kˈʌlɚ,The General American English phonemic transcription for 'color' is /ˈkʌlɚ/.,gpt-4o
colored,kˈʌlɚd,/ˈkʌlɚd/,gpt-4o
colors,kˈʌlɚz,The General American English phonemic transcription for 'colors' is /ˈkʌləɹz/.,gpt-4o
comeback,kˈʌmbˌæk,The General American English phonemic transcription for 'comeback' is /ˈkʌmbæk/.,gpt-4o
comet,kˈɑːmət,/ˈkɑmɪt/,gpt-4o
comfy,kˈʌmfi,The General American English phonemic transcription for 'comfy' is /ˈkʌmfi/.,gpt-4o
commerce,kˈɑːmɚs,/ˈkɑmɝs/,gpt-4o
commonly,kˈɑːmənli,/ˈkɑmənli/,gpt-4o
commute,kəmjˈuːt,/kəˈmjut/,gpt-4o
comp,kˈɑːmp,/kɑmp/,gpt-4o
compartment,kəmpˈɑːɹtmənt,/kəmˈpɑɹtmənt/,gpt-4o
complaints,kəmplˈeɪnts,/kəmˈpleɪnts/,gpt-4o
completely,kəmplˈiːtli,/kəmˈplitli/,gpt-4o
compute,kəmpjˈuːt,/kəmˈpjut/,gpt-4o
computing,kəmpjˈuːtɪŋ,/kəmˈpjutɪŋ/,gpt-4o
con,kˈɑːn,The General American English phonemic transcription for 'con' is /kɑn/.,gpt-4o
conclude,kənklˈuːd,/kənˈklud/,gpt-4o
concluded,kənklˈuːdəd,/kənˈkludɪd/,gpt-4o
concludes,kənklˈuːdz,/kənˈkludz/,gpt-4o
condominium,kˌɑndəmˈɪniəm,/kɑndəˈmɪniəm/,gpt-4o
confession,kənfˈɛʃən,/kənˈfɛʃən/,gpt-4o
confetti,kənfˈɛti,/kənˈfɛti/,gpt-4o
configure,kənfˈɪgjɚ,/kənˈfɪɡjɚ/,gpt-4o
connections,kənˈɛkʃənz,/kəˈnɛkʃənz/,gpt-4o
consent,kənsˈɛnt,/kənˈsɛnt/,gpt-4o
consider,kənsˈɪdɚ,/kənˈsɪdɚ/,gpt-4o
consideration,kənsˌɪdɚˈeɪʃən,/kənˌsɪdəˈɹeɪʃən/,gpt-4o
consideration,kənsˌɪdɚˈeɪʃən,/kənˌsɪdəˈɹeɪʃən/,gpt-4o
considered,kənsˈɪdɚd,/kənˈsɪdɚd/,gpt-4o
considering,kənsˈɪdɚɪŋ,/kənˈsɪdəɹɪŋ/,gpt-4o
considers,kənsˈɪdɚz,/kənˈsɪdɚz/,gpt-4o
constitute,kˈɑːnstətˌut,The General American English phonemic transcription for 'constitute' is /ˈkɑnstɪˌtut/.,gpt-4o
constitutes,kˈɑːnstətˌuts,The General American English phonemic transcription for 'constitutes' is /ˈkɑnstɪˌtuts/.,gpt-4o
consumption,kənsˈʌmpʃən,/kənˈsʌmpʃən/,gpt-4o
contingent,kəntˈɪndʒənt,The General American English phonemic transcription for 'contingent' is /kənˈtɪndʒənt/.,gpt-4o
continuously,kəntˈɪnjuəsli,/kənˈtɪnjuəsli/,gpt-4o
continuum,kəntˈɪnjuəm,/kənˈtɪnjuəm/,gpt-4o
controller,kəntɹˈoʊlɚ,/kənˈtɹoʊlɚ/,gpt-4o
converted,kənvˈɚtɪd,/kənˈvɝtɪd/,gpt-4o
convince,kənvˈɪns,/kənˈvɪns/,gpt-4o
convinced,kənvˈɪnst,/kənˈvɪnst/,gpt-4o
convincing,kənvˈɪnsɪŋ,/kənˈvɪnsɪŋ/,gpt-4o
cookbook,kˈʊkbˌʊk,/kʊkˌbʊk/,gpt-4o
cooker,kˈʊkɚ,The General American English phonemic transcription for 'cooker' is /ˈkʊkɚ/.,gpt-4o
cookies,kˈʊkiz,The General American English phonemic transcription for 'cookies' is /ˈkʊkiz/.,gpt-4o
cor,kˈɔːɹ,The word 'cor' in General American English is transcribed as /kɔɹ/.,gpt-4o
corrections,kɚˈɛkʃənz,/kəˈɹɛkʃənz/,gpt-4o
correspondent,kˌɔɹəspˈɑːndənt,/kɔɹəˈspɑndənt/,gpt-4o
corruption,kɚˈʌpʃən,/kəˈɹʌpʃən/,gpt-4o
cosy,kˈoʊzi,The General American English phonemic transcription for 'cosy' is /ˈkoʊzi/.,gpt-4o
cougar,kˈuːgɚ,The General American English phonemic transcription for 'cougar' is /ˈkuɡɚ/.,gpt-4o
counter,kˈaʊntɚ,The General American English phonemic transcription for 'counter' is /ˈkaʊntɚ/.,gpt-4o
countries,kˈʌntɹiz,The General American English phonemic transcription for 'countries' is /ˈkʌntɹiz/.,gpt-4o
courses,kˈɔːɹsəz,The General American English phonemic transcription for 'courses' is /ˈkɔɹsɪz/.,gpt-4o
courteous,kˈɚtiəs,/kɝːtiəs/,gpt-4o
cpu,kˈuː,The General American English phonemic transcription for 'CPU' is /ˌsiːpiˈjuː/.,gpt-4o
cradle,kɹˈeɪdəl,/ˈkɹeɪdəl/,gpt-4o
crash,kɹˈæʃ,The General American English phonemic transcription for 'crash' is /kɹæʃ/.,gpt-4o
crashed,kɹˈæʃt,The General American English phonemic transcription for 'crashed' is /kɹæʃt/.,gpt-4o
crashes,kɹˈæʃɪz,The General American English phonemic transcription for 'crashes' is /ˈkɹæʃɪz/.,gpt-4o
crashing,kɹˈæʃɪŋ,The General American English phonemic transcription for 'crashing' is /ˈkɹæʃɪŋ/.,gpt-4o
crazy,kɹˈeɪzi,The General American English phonemic transcription for 'crazy' is /ˈkɹeɪzi/.,gpt-4o
creamy,kɹˈiːmi,/ˈkɹimi/,gpt-4o
creed,kɹˈiːd,/kɹid/,gpt-4o
creep,kɹˈiːp,/kɹip/,gpt-4o
crest,kɹˈɛst,/kɹɛst/,gpt-4o
crib,kɹˈɪb,/kɹɪb/,gpt-4o
cricket,kɹˈɪkət,/ˈkɹɪkɪt/,gpt-4o
criminal,kɹˈɪmənəl,/ˈkɹɪmɪnəl/,gpt-4o
croatian,kɹoʊˈeɪʃən,/kɹoʊˈeɪʃən/,gpt-4o
crochet,kɹoʊʃˈeɪ,/kɹoʊˈʃeɪ/,gpt-4o
crush,kɹˈʌʃ,The General American English phonemic transcription for 'crush' is /kɹʌʃ/.,gpt-4o
crushed,kɹˈʌʃt,The General American English phonemic transcription for 'crushed' is /kɹʌʃt/.,gpt-4o
crushing,kɹˈʌʃɪŋ,/ˈkɹʌʃɪŋ/,gpt-4o
cubic,kjˈuːbɪk,The General American English phonemic transcription for 'cubic' is /ˈkjubɪk/.,gpt-4o
cuisine,kwɪzˈiːn,The General American English phonemic transcription for 'cuisine' is /kwɪˈzin/.,gpt-4o
cumming,kˈʌmɪŋ,/kʌmɪŋ/,gpt-4o
custody,kˈʌstədi,/ˈkʌstədi/,gpt-4o
customer,kˈʌstəmɚ,/ˈkʌstəmɚ/,gpt-4o
customers,kˈʌstəmɚz,/ˈkʌstəmɚz/,gpt-4o
cutter,kˈʌtɚ,The General American English phonemic transcription for 'cutter' is /ˈkʌɾɚ/.,gpt-4o
cylinder,sˈɪləndɚ,The General American English phonemic transcription for 'cylinder' is /ˈsɪlɪndɚ/.,gpt-4o
dame,dˈeɪm,/dem/,gpt-4o
dare,dˈɛɹ,/dɛɹ/,gpt-4o
death,dˈɛθ,The General American English phonemic transcription for 'death' is /dɛθ/.,gpt-4o
debit,dˈɛbɪt,The General American English phonemic transcription for 'debit' is /ˈdɛbɪt/.,gpt-4o
debut,deɪbjˈuː,The General American English phonemic transcription for 'debut' is /deɪˈbju/.,gpt-4o
debuts,dˈeɪbjuz,The General American English phonemic transcription for 'debuts' is /deɪˈbjuːz/.,gpt-4o
decay,dəkˈeɪ,/dɪˈkeɪ/,gpt-4o
decide,dɪsˈaɪd,/dɪˈsaɪd/,gpt-4o
deciding,dəsˈaɪdɪŋ,/dɪˈsaɪdɪŋ/,gpt-4o
delaware,dˈɛləwˌɛɹ,/dɛləˌwɛɹ/,gpt-4o
deli,dˈɛli,/dɛli/,gpt-4o
deliver,dɪlˈɪvɚ,/dɪˈlɪvɚ/,gpt-4o
delivered,dɪlˈɪvɚd,/dɪˈlɪvɚd/,gpt-4o
delta,dˈɛltə,/dɛltə/,gpt-4o
demo,dˈɛmoʊ,/dɛmoʊ/,gpt-4o
democratic,dˌɛməkɹˈætɪk,/dɛməˈkɹætɪk/,gpt-4o
demos,dˈɛmˌoʊz,/dɛmoʊz/,gpt-4o
denver,dˈɛnvɚ,/ˈdɛnvɚ/,gpt-4o
depression,dɪpɹˈɛʃən,/dɪˈpɹɛʃən/,gpt-4o
derry,dˈɛɹi,/ˈdɛɹi/,gpt-4o
design,dɪzˈaɪn,/dɪˈzaɪn/,gpt-4o
designed,dɪzˈaɪnd,/dɪˈzaɪnd/,gpt-4o
designs,dɪzˈaɪnz,/dɪˈzaɪnz/,gpt-4o
dessert,dɪzˈɚt,/dɪˈzɝt/,gpt-4o
determine,dətˈɚmən,/dɪˈtɝmɪn/,gpt-4o
determined,dɪtˈɚmənd,/dɪˈtɝmɪnd/,gpt-4o
devotional,dɪvˈoʊʃənəl,/dɪˈvoʊʃənl̩/,gpt-4o
differentiate,dˌɪfɚˈɛnʃiˌeɪt,/dɪfəˈɹɛnʃiˌeɪt/,gpt-4o
dirty,dˈɚti,The General American English phonemic transcription for 'dirty' is /ˈdɝti/.,gpt-4o
disc,dˈɪsk,The General American English phonemic transcription for 'disc' is /dɪsk/.,gpt-4o
disciplinary,dˈɪsəplənˌɛɹi,/ˈdɪsəpləˌnɛɹi/,gpt-4o
discoveries,dɪskˈʌvɚiz,The General American English phonemic transcription for 'discoveries' is /dɪsˈkʌvɹiz/.,gpt-4o
discreet,dɪskɹˈiːt,/dɪˈskɹit/,gpt-4o
discussion,dɪskˈʌʃən,/dɪˈskʌʃən/,gpt-4o
disney,dˈɪzni,/ˈdɪzni/,gpt-4o
disneyland,dˈɪznilˌænd,/ˈdɪzniˌlænd/,gpt-4o
dispose,dɪspˈoʊz,/dɪsˈpoʊz/,gpt-4o
disruption,dɪsɹˈʌpʃən,/dɪsˈɹʌpʃən/,gpt-4o
distinctive,dɪstˈɪŋktɪv,/dɪˈstɪŋktɪv/,gpt-4o
distinguish,dɪstˈɪŋgwɪʃ,/dɪˈstɪŋɡwɪʃ/,gpt-4o
distinguished,dɪstˈɪŋgwɪʃt,/dɪˈstɪŋɡwɪʃt/,gpt-4o
dna,dˈiːˌɛnˈeɪ,/dˌiːˌɛnˈeɪ/,gpt-4o
doubt,dˈaʊt,/dɑʊt/,gpt-4o
doubts,dˈaʊts,/dauts/,gpt-4o
dough,dˈoʊ,/doʊ/,gpt-4o
dozen,dˈʌzən,/ˈdʌzən/,gpt-4o
dramatic,dɹəmˈætɪk,/drəˈmætɪk/,gpt-4o
dug,dˈʌg,/dʌɡ/,gpt-4o
duke,dˈuːk,/djuk/,gpt-4o
dummies,dˈʌmiz,/dʌmiz/,gpt-4o
dummy,dˈʌmi,/dʌmi/,gpt-4o
dunk,dˈʌŋk,/dʌŋk/,gpt-4o
duplication,djˌupləkˈeɪʃən,/ˌdupləˈkeɪʃən/,gpt-4o
dust,dˈʌst,/dʌst/,gpt-4o
dwarf,dwˈɔːɹf,/dwɔɹf/,gpt-4o
dynasty,dˈaɪnəsti,/ˈdaɪnəsti/,gpt-4o
earn,ˈɚn,/ɝn/,gpt-4o
earned,ˈɚnd,/ɝnd/,gpt-4o
earns,ˈɚnz,The General American English phonemic transcription for 'earns' is /ɝnz/.,gpt-4o
easton,ˈiːstən,/ˈistən/,gpt-4o
ecological,ikəlˈɑːdʒɪkəl,/ˌikəˈlɑdʒɪkəl/,gpt-4o
ecuador,ˈɛkwədˌɔɹ,/ˈɛkwədɔɹ/,gpt-4o
edgar,ˈɛdgɚ,/ˈɛdɡɚ/,gpt-4o
eileen,aɪlˈiːn,/aɪˈlin/,gpt-4o
elder,ˈɛldɚ,/ˈɛldɚ/,gpt-4o
elderly,ˈɛldɚli,/ˈɛldɚli/,gpt-4o
elders,ˈɛldɚz,/ˈɛldɚz/,gpt-4o
election,ɪlˈɛkʃən,/ɪˈlɛkʃən/,gpt-4o
electrical,ɪlˈɛktɹɪkəl,/ɪˈlɛktɹɪkəl/,gpt-4o
elm,ˈɛlm,/ɛlm/,gpt-4o
elusive,ɪlˈuːsɪv,/ɪˈlusɪv/,gpt-4o
emerald,ˈɛmɹəld,/ˈɛmɹəld/,gpt-4o
engagement,ɛngˈeɪdʒmənt,/ɪnˈɡeɪdʒmənt/,gpt-4o
enhance,ɛnhˈæns,/ɪnˈhæns/,gpt-4o
enthusiastic,ɪnθˌuziˈæstɪk,/ɪnˌθuziˈæstɪk/,gpt-4o
enzyme,ˈɛnzˌaɪm,/ˈɛnzaɪm/,gpt-4o
equally,ˈiːkwəli,/ˈikwəli/,gpt-4o
equip,ɪkwˈɪp,/ɪˈkwɪp/,gpt-4o
equipped,ɪkwˈɪpt,/ɪˈkwɪpt/,gpt-4o
erin,ˈɛɹɪn,The General American English phonemic transcription for 'erin' is /ˈɛɹɪn/.,gpt-4o
erosion,ɪɹˈoʊʒən,/ɪˈɹoʊʒən/,gpt-4o
essentially,ɪsˈɛnʃəli,/ɪˈsɛnʃəli/,gpt-4o
estate,ɪstˈeɪt,/ɪˈsteɪt/,gpt-4o
estimation,ˌɛstəmˈeɪʃən,/ˌɛstəˈmeɪʃən/,gpt-4o
estonia,ɛstˈoʊniə,/ɛˈstoʊniə/,gpt-4o
europa,jʊɹˈoʊpə,The General American English phonemic transcription for 'europa' is /jʊˈɹoʊpə/.,gpt-4o
examined,ɪgzˈæmənd,/ɪɡˈzæmɪnd/,gpt-4o
examining,ɪgzˈæmɪnɪŋ,/ɪɡˈzæmɪnɪŋ/,gpt-4o
exceed,ɪksˈiːd,/ɪkˈsid/,gpt-4o
exceeding,ɪksˈiːdɪŋ,The General American English phonemic transcription for 'exceeding' is /ɪkˈsidɪŋ/.,gpt-4o
excel,ɪksˈɛl,/ɪkˈsɛl/,gpt-4o
exceptions,ɪksˈɛpʃənz,/ɪkˈsɛpʃənz/,gpt-4o
excited,ɪksˈaɪtəd,/ɪkˈsaɪtɪd/,gpt-4o
exciting,ɪksˈaɪtɪŋ,/ɪkˈsaɪtɪŋ/,gpt-4o
expansive,ɪkspˈænsɪv,/ɪkˈspænsɪv/,gpt-4o
expectation,ˌɛkspɛktˈeɪʃən,/ˌɛkspɛkˈteɪʃən/,gpt-4o
experiential,ɛkspˌɛɹiˈɛnʃəl,/ɪkˌspɪɹiˈɛnʃəl/,gpt-4o
explained,ɪksplˈeɪnd,/ɪkˈsplɛɪnd/,gpt-4o
exploration,ˌɛksplɚˈeɪʃən,/ˌɛkspləˈɹeɪʃən/,gpt-4o
