grapheme,ground_truth_phoneme,predicted_phoneme,model
akhi,ˈɑːki,"The word 'akhi' does not have a standard pronunciation in General American English, as it is not a commonly used English word. However, if you provide more context or specify how it is intended to be pronounced, I can offer a transcription based on that information.",gpt-4o
alcaide,ˈælkˌeɪd,"The word 'alcaide' is not commonly used in General American English, and its pronunciation may vary based on its origin. However, a possible GAE phonemic transcription could be /ælˈkaɪdi/.",gpt-4o
alcool,ˈælkˌul,"The word 'alcool' is not a standard English word, and thus does not have a recognized General American English pronunciation. If you meant 'alcohol', its GAE phonemic transcription is /ˈælkəhɔl/. If 'alcool' is intended to represent a different word or concept, please provide additional context.",gpt-4o
alfalfa,ˌælfˈælfə,/ælˈfælfə/,gpt-4o
alibi,ˈæləbˌaɪ,/ˈæləˌbaɪ/,gpt-4o
alim,ˈælɪm,"The word 'alim' does not have a standard pronunciation in General American English, as it is not a commonly recognized English word. If you meant a different word or need assistance with a specific context, please provide more details.",gpt-4o
alkin,ˈælkɪn,/ˈælkɪn/,gpt-4o
alliyah,əlˈaɪə,The General American English phonemic transcription for 'alliyah' is /əˈliːə/.,gpt-4o
allusion,əlˈuːʒən,/əˈluʒən/,gpt-4o
alogliptin,ˌæləgˈɛtɪpən,/ˌæloʊˈɡlɪptɪn/,gpt-4o
alphabets,ˈælfəbˌɛts,/ˈælfəˌbɛts/,gpt-4o
altaic,æltˈeɪɪk,/ælˈteɪɪk/,gpt-4o
alternately,ˈɔːltɚnətli,/ˈɔltɚnətli/,gpt-4o
amharic,ˈæmhɚɪk,/æmˈhɛɹɪk/,gpt-4o
amigos,əmˈiːgˌoʊz,/amˈiɡoʊz/,gpt-4o
amigurumi,ˌæmgɪɹˈuːmi,The General American English phonemic transcription for 'amigurumi' is /ˌæmɪɡəˈɹumi/.,gpt-4o
ammonia,əmˈoʊnjə,/əˈmoʊniə/,gpt-4o
amped,ˈæmpt,The General American English phonemic transcription for 'amped' is /æmpt/.,gpt-4o
amphibian,æmfˈɪbiən,/æmˈfɪbiən/,gpt-4o
amping,ˈæmpɪŋ,/ˈæmpɪŋ/,gpt-4o
amulets,ˈæmjələts,/ˈæmjəlɪts/,gpt-4o
amusingly,əmjˈuːzɪŋli,/əˈmjuzɪŋli/,gpt-4o
anabolic,ˌænəbˈɑːlɪk,/ˌænəˈbɑlɪk/,gpt-4o
androgyny,ændɹˈɔːdʒəni,/ænˈdɹɑdʒɪni/,gpt-4o
anew,ənˈuː,/əˈnu/,gpt-4o
angioplasty,ˈændʒiəplˌæsti,/ˈændʒi.oʊˌplæsti/,gpt-4o
animosity,ˌænəmˈɑːsəti,/ˌænəˈmɑsəti/,gpt-4o
anion,ˈeɪniən,/ˈænˌaɪən/,gpt-4o
ankylosaurus,ˌæŋkələsˈɔːɹəs,/ˌæŋkɪloʊˈsɔɹəs/,gpt-4o
annal,ˈænəl,The General American English phonemic transcription for 'annal' is /ˈænəl/.,gpt-4o
annoyance,ənˈɔɪəns,/əˈnɔɪəns/,gpt-4o
anoint,ənˈɔɪnt,/əˈnɔɪnt/,gpt-4o
anointed,ənˈɔɪntəd,/əˈnɔɪntɪd/,gpt-4o
anonymity,ˌænənˈɪmɪti,/ˌænəˈnɪməti/,gpt-4o
anteroom,æntɚˈʊm,/ˈæntiˌɹum/,gpt-4o
anthems,ˈænθəmz,/ˈænθəmz/,gpt-4o
anthropocentrism,ˌænθɹəpətɹˈɪsənz,/ˌænθɹəpoʊˈsɛnˌtɹɪzəm/,gpt-4o
anthroposophy,ˌænθɹəpˈɑːzəpi,/ˌænθɹəˈpɑsəfi/,gpt-4o
antioch,ˈæntiˌɑk,The General American English phonemic transcription for 'antioch' is /ˈæntiˌɑk/.,gpt-4o
antiope,ˈæntiˌoʊp,The General American English phonemic transcription for 'antiope' is /ænˈtaɪəpi/.,gpt-4o
antiphon,ˈæntəfˌɑn,/ˈæntəˌfɑn/,gpt-4o
antipodal,æntˈɪpədəl,/ænˈtɪpədəl/,gpt-4o
antipollution,ˌæntəpəlˈeɪʃəp,/ˌæntipoʊˈluːʃən/,gpt-4o
antiquities,æntˈɪkwətiz,/ænˈtɪkwɪtiz/,gpt-4o
antler,ˈæntlɚ,/ˈæntləɹ/,gpt-4o
antony,ˈæntəni,The General American English phonemic transcription for 'antony' is /ˈæntəni/.,gpt-4o
antsy,ˈæntsi,/ˈæntsi/,gpt-4o
antwerp,ˈæntwɚp,/ˈæntwɝp/,gpt-4o
anythings,ˈɛniθˌɪŋz,"The word 'anythings' is not standard in English, but if you are referring to the plural form of 'anything' in a hypothetical or informal context, the transcription would be /ˈɛniˌθɪŋz/.",gpt-4o
apogee,ˈæpədʒˌi,/ˈæpədʒi/,gpt-4o
appian,ˈæpiən,The General American English phonemic transcription for 'appian' is /ˈæpiən/.,gpt-4o
apport,əpˈɔːɹt,The General American English phonemic transcription for 'apport' is /əˈpɔɹt/.,gpt-4o
appreciable,əpɹˈiːʃəbəl,/əˈpɹiʃəbəl/,gpt-4o
apprehend,ˌæpɹɪhˈɛnd,/ˌæpɹəˈhɛnd/,gpt-4o
apprehension,ˌæpɹɪhˈɛnʃən,/ˌæpɹəˈhɛnʃən/,gpt-4o
approximation,əpɹˌɑksəmˈeɪʃən,/əˌpɹɑksɪˈmeɪʃən/,gpt-4o
ard,ˈɑːɹd,/ɑɹd/,gpt-4o
arenas,ɚˈiːnəz,/əˈɹinəz/,gpt-4o
armagh,ˈɑːɹməg,The General American English phonemic transcription for 'Armagh' is /ɑɹˈmɑ/.,gpt-4o
arouse,ɚˈaʊz,/əˈɹaʊz/,gpt-4o
aroused,ɚˈaʊzd,/əˈɹaʊzd/,gpt-4o
arousing,ɚˈaʊzɪŋ,/əˈɹaʊzɪŋ/,gpt-4o
arpanet,ˈɑːɹpənˌɛt,/ˈɑɹpəˌnɛt/,gpt-4o
arraign,ɚˈeɪn,/əˈɹeɪn/,gpt-4o
arraigned,ɚˈeɪnd,/əˈɹeɪnd/,gpt-4o
arraigns,ɚˈeɪnz,/əˈɹeɪnz/,gpt-4o
arrears,ɚˈɪɹz,/əˈɹɪɹz/,gpt-4o
aseptic,əsˈɛptɪk,/əˈsɛptɪk/,gpt-4o
ashen,ˈæʃən,The General American English phonemic transcription for 'ashen' is /ˈæʃən/.,gpt-4o
asper,ˈæspɚ,The General American English phonemic transcription for 'asper' is /ˈæspɚ/.,gpt-4o
assimilate,əsˈɪməlˌeɪt,/əˈsɪməˌleɪt/,gpt-4o
assize,əsˈaɪz,The General American English phonemic transcription for 'assize' is /əˈsaɪz/.,gpt-4o
asswipe,əswˈaɪp,/ˈæswaɪp/,gpt-4o
assyrian,əsˈɪɹiən,/əˈsɪɹiən/,gpt-4o
astatine,ˈæstətˌin,/ˈæstəˌtiːn/,gpt-4o
asynchronous,ˈeɪsˈɪŋkɹənəs,The General American English phonemic transcription for 'asynchronous' is /eɪˈsɪŋkɹənəs/.,gpt-4o
atavism,ˈætəvɪzəm,/ˈætəˌvɪzəm/,gpt-4o
athanor,ˈæθənɚ,The General American English phonemic transcription for 'athanor' is /ˈæθənɔɹ/.,gpt-4o
atheism,əθˈaɪsəm,/ˈeɪθiˌɪzəm/,gpt-4o
attacker,ətˈækɚ,/əˈtækɚ/,gpt-4o
atter,ˈætɚ,/ˈætɚ/,gpt-4o
atwitter,ˈætwˌɪtɚ,/əˈtwɪtɚ/,gpt-4o
audax,ˈɔːdæks,"The word 'audax' is not a standard English word and does not have a conventional pronunciation in General American English. However, if we were to approximate a pronunciation based on typical GAE patterns, it might be transcribed as /ˈɔˌdæks/.",gpt-4o
audiology,ˌɔdiˈɑːlədʒi,/ˌɔdiˈɑlədʒi/,gpt-4o
augury,ˈɔːgɚi,/ˈɔɡjɚi/,gpt-4o
auguste,ˈɔːgəst,The General American English phonemic transcription for 'auguste' is /ɔˈɡʌst/.,gpt-4o
auspice,ˈɔːspɪs,The General American English phonemic transcription for 'auspice' is /ˈɔspɪs/.,gpt-4o
austen,ˈɔːstɪn,/ˈɔstən/,gpt-4o
austinites,ˈɔːstənˌaɪts,/ˈɔstɪˌnaɪts/,gpt-4o
austronesian,ˌɔstɹənˈiːʒən,/ˌɔstɹoʊˈniʒən/,gpt-4o
authenticate,ɔθˈɛntəkˌeɪt,/ɔˈθɛntɪˌkeɪt/,gpt-4o
autocephalous,ˌɔtəsəfˈɛləs,/ˌɔtəˈsɛfələs/,gpt-4o
aversion,əvˈɚʒən,/əˈvɝʒən/,gpt-4o
avestan,ˈævəstən,/əˈvɛstən/,gpt-4o
avital,əvˈiːtəl,The General American English phonemic transcription for 'avital' is /əˈvaɪtəl/.,gpt-4o
avoirdupois,əvˈɔɪdɹəsˌup,The General American English phonemic transcription for 'avoirdupois' is /ˌævəɹdəˈpɔɪz/.,gpt-4o
avow,əvˈaʊ,/əˈvaʊ/,gpt-4o
avowed,əvˈaʊd,/əˈvaʊd/,gpt-4o
avril,ˈævɹɪl,The General American English phonemic transcription for 'avril' is /ˈævɹəl/.,gpt-4o
azores,əzˈɔːɹz,The General American English phonemic transcription for 'Azores' is /əˈzɔɹz/.,gpt-4o
aztecs,ˈæztˌɛks,/ˈæztɛks/,gpt-4o
babygrow,bˈæbɪgɹu,The General American English phonemic transcription for 'babygrow' is /ˈbeɪbiˌɡɹoʊ/.,gpt-4o
backer,bˈækɚ,/ˈbækɚ/,gpt-4o
backspace,bˈækspəs,/bækˌspeɪs/,gpt-4o
backtrack,bˈæktɹˌæk,/bækˌtɹæk/,gpt-4o
baddie,bˈædi,/bædi/,gpt-4o
bailiffs,bˈeɪləfs,The General American English phonemic transcription for 'bailiffs' is /ˈbeɪlɪfs/.,gpt-4o
baillie,bˈeɪli,The General American English phonemic transcription for 'baillie' is /ˈbeɪli/.,gpt-4o
bajaj,bˈɑːʒˌeɪ,"The word 'bajaj' does not have a standard pronunciation in General American English, as it is not a common English word. However, if we were to approximate its pronunciation based on typical GAE phonetic patterns, it might be transcribed as /bəˈdʒɑdʒ/.",gpt-4o
bakelite,bˈeɪklˌaɪt,/ˈbeɪkəˌlaɪt/,gpt-4o
balancer,bˈælənsɚ,/ˈbælənsɚ/,gpt-4o
balkan,bˈɔːlkən,The General American English phonemic transcription for 'balkan' is /ˈbɔlkən/.,gpt-4o
ballachulish,bˈæləkhˌaʊlɪtʃ,"The word 'Ballachulish' is a place name of Scottish origin, and its pronunciation in General American English can vary due to its non-English roots. However, a common approximation in GAE might be /ˌbæləˈkuːlɪʃ/.",gpt-4o
ballad,bˈæləd,/ˈbæləd/,gpt-4o
ballistics,bəlˈɪstɪks,/bəˈlɪstɪks/,gpt-4o
bamboozle,bˈæmboʊsl,/bæmˈbuzəl/,gpt-4o
bandarban,bˈændɚbˌæn,/bændɚˈbæn/,gpt-4o
banishment,bˈænɪʃmənt,/ˈbænɪʃmənt/,gpt-4o
bannings,bˈænɪŋz,/bænɪŋz/,gpt-4o
banoffee,bˈænəfi,The General American English phonemic transcription for 'banoffee' is /bəˈnɔfi/.,gpt-4o
banter,bˈæntɚ,/ˈbæntɚ/,gpt-4o
barbarity,bɑɹbˈæɹəti,/bɑɹˈbɛɹəti/,gpt-4o
baritone,bˈɛɹətˌoʊn,/ˈbæɹɪˌtoʊn/,gpt-4o
barkley,bˈɑːɹkli,/bɑɹkli/,gpt-4o
barnabas,bˈɑːɹnəbəs,/bɑɹnəbəs/,gpt-4o
baud,bˈɔːd,/bɔd/,gpt-4o
bawtry,bˈɔːtɹi,"The word 'bawtry' does not have a standard pronunciation in General American English, as it is typically a proper noun associated with a place name in the UK. However, if we were to approximate it using GAE phonological patterns, it might be transcribed as /ˈbɔtɹi/.",gpt-4o
beaked,bˈiːkt,The General American English phonemic transcription for 'beaked' is /bikt/.,gpt-4o
beaks,bˈiːks,/biːks/,gpt-4o
beamish,bˈiːmɪʃ,/ˈbiːmɪʃ/,gpt-4o
beauchamp,bˈoʊʃˌɑmp,The General American English phonemic transcription for 'beauchamp' is /ˈbiːtʃəm/.,gpt-4o
beavis,bˈiːvəs,/ˈbiːvɪs/,gpt-4o
beckoned,bˈɛkənd,/ˈbɛkənd/,gpt-4o
beckoning,bˈɛkənɪŋ,/ˈbɛkənɪŋ/,gpt-4o
beckons,bˈɛkənz,/ˈbɛkənz/,gpt-4o
bedecked,bɪdˈɛkt,/bɪˈdɛkt/,gpt-4o
bedhead,bˈɛdhˌɛd,/ˈbɛdˌhɛd/,gpt-4o
bedlam,bˈɛdləm,/ˈbɛdləm/,gpt-4o
beeb,bˈiːb,/biːb/,gpt-4o
beeson,bˈiːzən,The General American English phonemic transcription for 'beeson' is /ˈbisən/.,gpt-4o
beet,bˈiːt,/biːt/,gpt-4o
behest,bɪhˈɛst,/bɪˈhɛst/,gpt-4o
belemnite,bˈɛləmnˌaɪt,The General American English phonemic transcription for 'belemnite' is /ˈbɛləmˌnaɪt/.,gpt-4o
beltrami,bˌɛltɹˈɑːmi,/bɛlˈtɹɑmi/,gpt-4o
bends,bˈɛndz,/bɛndz/,gpt-4o
bengaline,bˈɛŋgəlˌin,/bɛŋɡəˈliːn/,gpt-4o
beret,bˈɛɹət,/bəˈɹeɪ/,gpt-4o
berkhamsted,bˈɚkhˌæmstɪd,The General American English phonemic transcription for 'berkhamsted' is /ˈbɝkəmstɛd/.,gpt-4o
betcha,bˈɛtʃə,The General American English phonemic transcription for 'betcha' is /ˈbɛtʃə/.,gpt-4o
bethsaida,bˌɛtshˈeɪdə,The General American English phonemic transcription for 'Bethsaida' is /bɛθˈseɪdə/.,gpt-4o
bettor,bˈɛtɚ,/ˈbɛtɚ/,gpt-4o
bevor,bˈɛvɚ,"It seems there might be a misunderstanding, as 'bevor' is not a standard English word. If you meant a different word, please provide the correct spelling. If 'bevor' is intended as a name or a specific term, its pronunciation might vary. However, based on typical English phonotactics, a possible transcription could be /bɪˈvɔɹ/. Please clarify if you meant a different word.",gpt-4o
bewilderment,bɪwˈɪldɚmənt,/bɪˈwɪldɚmənt/,gpt-4o
biafra,biˈɑːfɹə,The General American English phonemic transcription for 'Biafra' is /biˈæfɹə/.,gpt-4o
bicep,bˈaɪsˌɛp,/ˈbaɪsɛp/,gpt-4o
bigelow,bˈɪgəlˌoʊ,/bɪɡəˌloʊ/,gpt-4o
bilbao,bɪlbˈaʊ,The General American English phonemic transcription for 'Bilbao' is /bɪlˈbaʊ/.,gpt-4o
bilk,bˈɪlk,/bɪlk/,gpt-4o
biome,bˈaɪˌoʊm,/ˈbaɪoʊm/,gpt-4o
biostatistical,bˌaɪoʊstˌeɪstɪkˈeɪtəl,/ˌbaɪoʊstəˈtɪstɪkəl/,gpt-4o
bioweapon,bˌaɪoʊwˈeɪpiən,/ˈbaɪoʊˌwɛpən/,gpt-4o
bipod,bˈɪpoʊd,/ˈbaɪˌpɑd/,gpt-4o
bislama,bɪslˈɑːmə,/bɪsˈlɑmə/,gpt-4o
bismuth,bˈɪzməθ,/bɪzməθ/,gpt-4o
bitchy,bˈɪtʃi,The General American English phonemic transcription for 'bitchy' is /ˈbɪtʃi/.,gpt-4o
bittersweet,bˈɪtɚswˌit,/ˈbɪtɚˌswit/,gpt-4o
blabber,blˈæbɚ,/blæbɚ/,gpt-4o
blackadder,blˈækˌædɚ,/blækˈædɚ/,gpt-4o
blacktop,blˈæktˌɑp,/ˈblækˌtɑp/,gpt-4o
blackwell,blˈækwˌɛl,/ˈblækwɛl/,gpt-4o
blaine,blˈeɪn,The General American English phonemic transcription for 'blaine' is /bleɪn/.,gpt-4o
blasphemy,blˈæsfəmi,/blæsfəmi/,gpt-4o
blazar,blˈɑːzɚ,/blˈeɪzɚ/,gpt-4o
bleakly,blˈiːkli,/ˈbliːkli/,gpt-4o
blitzed,blˈɪtst,/blɪtst/,gpt-4o
blitzes,blˈɪtsɪz,/blɪtsɪz/,gpt-4o
blitzing,blˈɪtsɪŋ,/blɪtsɪŋ/,gpt-4o
bloat,blˈoʊt,/bloʊt/,gpt-4o
bloated,blˈoʊtɪd,/bloʊtɪd/,gpt-4o
bloating,blˈoʊtɪŋ,/bloʊtɪŋ/,gpt-4o
bloats,blˈoʊts,/bloʊts/,gpt-4o
blooper,blˈuːpɚ,/bˈluːpɚ/,gpt-4o
blucher,blˈuːtʃɚ,The General American English phonemic transcription for 'blucher' is /ˈbluːtʃɚ/.,gpt-4o
blunder,blˈʌndɚ,/blʌndɚ/,gpt-4o
blythe,blˈaɪð,The General American English phonemic transcription for 'blythe' is /blaɪð/.,gpt-4o
boarder,bˈɔːɹdɚ,/ˈbɔɹdɚ/,gpt-4o
boars,bˈɔːɹz,/bɔɹz/,gpt-4o
boggle,bˈɑːgəl,/ˈbɑɡəl/,gpt-4o
boink,bˈɔɪnk,/bɔɪŋk/,gpt-4o
bokeh,bˈoʊk,/bˈoʊkə/,gpt-4o
bolder,bˈoʊldɚ,/boʊldɚ/,gpt-4o
boner,bˈoʊnɚ,/ˈboʊnɚ/,gpt-4o
bonham,bˈɑːnhəm,The General American English phonemic transcription for 'bonham' is /ˈbɑnəm/.,gpt-4o
booger,bˈuːgɚ,/ˈbʊɡɚ/,gpt-4o
booky,bˈʊki,The General American English phonemic transcription for 'booky' is /ˈbʊki/.,gpt-4o
boondoggle,bˌundˈɑːgəl,/ˈbuːnˌdɑɡəl/,gpt-4o
bootsy,bˈuːtsi,/ˈbuːtsi/,gpt-4o
bop,bˈɑːp,/bɑp/,gpt-4o
borneo,bˈɔːɹniˌoʊ,/bɔɹniˌoʊ/,gpt-4o
botch,bˈɑːtʃ,/bɑtʃ/,gpt-4o
boykin,bˈɔɪkɪn,/bɔɪkɪn/,gpt-4o
brampton,bɹˈæmptən,/bræmptən/,gpt-4o
brassy,bɹˈæsi,/bræsi/,gpt-4o
breakings,bɹˈeɪkɪŋz,/ˈbɹeɪkɪŋz/,gpt-4o
breakup,bɹˈeɪkˌʌp,/ˈbɹeɪˌkʌp/,gpt-4o
breezed,bɹˈiːzd,/bɹiːzd/,gpt-4o
breezes,bɹˈiːzɪz,/bɹiːzɪz/,gpt-4o
breezing,bɹˈiːzɪŋ,/bɹiːzɪŋ/,gpt-4o
bregenz,bɹˈiːgənz,The General American English phonemic transcription for 'Bregenz' is /ˈbɹeɪɡɛnts/.,gpt-4o
brest,bɹˈɛst,/bɹɛst/,gpt-4o
brews,bɹˈuːz,/bɹuz/,gpt-4o
briefer,bɹˈiːfɚ,/brifɚ/,gpt-4o
brim,bɹˈɪm,/brɪm/,gpt-4o
brimmed,bɹˈɪmd,/brɪmd/,gpt-4o
brimming,bɹˈɪmɪŋ,/brɪmɪŋ/,gpt-4o
brims,bɹˈɪmz,/brɪmz/,gpt-4o
brine,bɹˈaɪn,/brɑɪn/,gpt-4o
brined,bɹˈaɪnd,/brɑɪnd/,gpt-4o
brines,bɹˈaɪnz,/brɑɪnz/,gpt-4o
brining,bɹˈaɪnɪŋ,/brɑɪnɪŋ/,gpt-4o
brits,bɹˈɪts,/brɪts/,gpt-4o
broach,bɹˈoʊtʃ,/bɹoʊtʃ/,gpt-4o
brome,bɹˈoʊm,/bɹoʊm/,gpt-4o
bronco,bɹˈɑːŋkoʊ,/brɑŋkoʊ/,gpt-4o
brooder,bɹˈuːdɚ,/bɹuːdɚ/,gpt-4o
broody,bɹˈuːdi,The General American English phonemic transcription for 'broody' is /ˈbɹudi/.,gpt-4o
brownie,bɹˈaʊni,/bɹaʊni/,gpt-4o
brutus,bɹˈuːtəs,/brutəs/,gpt-4o
brux,bɹˈʌks,/brʌks/,gpt-4o
buffon,bˈʌfən,"The word 'buffon' does not have a standard pronunciation in General American English, as it is not a commonly recognized English word. If you meant a different word or a name, please provide additional context or clarification.",gpt-4o
bulked,bˈʊlkt,/bʌlkt/,gpt-4o
bullock,bˈʊlək,/bʊlək/,gpt-4o
bunco,bˈʌŋkoʊ,/bʌŋkoʊ/,gpt-4o
buoyancy,bˈɔɪənsi,/ˈbɔɪənsi/,gpt-4o
burglary,bˈɚglɚi,/bɝɡləri/,gpt-4o
burley,bˈɚli,The General American English phonemic transcription for 'burley' is /ˈbɝli/.,gpt-4o
burra,bˈʊɹə,/bɜɹə/,gpt-4o
busby,bˈʌzbi,The General American English phonemic transcription for 'busby' is /ˈbʌzbi/.,gpt-4o
butthurt,bˈʌthɚt,/bʌtˌhɝt/,gpt-4o
byre,bˈaɪɹ,The General American English phonemic transcription for 'byre' is /baɪɹ/.,gpt-4o
cabana,kəbˈænə,/kəˈbænə/,gpt-4o
cabby,kˈæbi,/ˈkæbi/,gpt-4o
caches,kˈæʃɪz,The General American English phonemic transcription for 'caches' is /ˈkæʃɪz/.,gpt-4o
cachet,kˈæʃeɪ,/kæˈʃeɪ/,gpt-4o
cads,kˈæds,/kædz/,gpt-4o
cahokia,kəhˈoʊkiə,/kəˈhoʊkiə/,gpt-4o
calumet,kˌæljəmˈɛt,/kæljəˈmɛt/,gpt-4o
campy,kˈæmpi,/ˈkæmpi/,gpt-4o
cana,kˈænə,The General American English phonemic transcription for 'cana' is /ˈkeɪnə/.,gpt-4o
canasta,kənˈæstə,/kəˈnæstə/,gpt-4o
cannock,kˈænək,"The word 'Cannock' is a place name from the UK and does not have a standard pronunciation in General American English. However, if it were to be pronounced using GAE phonological patterns, it might be transcribed as /ˈkænək/.",gpt-4o
canola,kənˈoʊlə,/kəˈnoʊlə/,gpt-4o
cantrip,kˈæntɹɪp,/kænˌtɹɪp/,gpt-4o
capsicum,kˈæpsɪkəm,/kæpsɪkəm/,gpt-4o
caravel,kˈɛɹəvˌɛl,/kæɹəˌvɛl/,gpt-4o
carbimazole,kˌɑɹbəmˈɑːzəˌoʊ,The General American English phonemic transcription for 'carbimazole' is /kɑɹˈbɪməˌzoʊl/.,gpt-4o
carborundum,kˌɑɹbɚˈʌndəm,/kɑɹbəˈɹʌndəm/,gpt-4o
cardistry,kˈɑːɹdəstɹi,/kɑɹˈdɪstɹi/,gpt-4o
carnaroli,kɑɹnɑɹˈoʊli,The General American English phonemic transcription for 'carnaroli' is /ˌkɑɹnəˈɹoʊli/.,gpt-4o
carpetbagger,kˈɑːɹpətbˌægɚ,/ˈkɑɹpɪtˌbæɡɚ/,gpt-4o
carrageenan,kˌɑɹidʒˈiːnən,/ˌkæɹəˈɡiːnən/,gpt-4o
casimir,kˈæsɪmˌiɹ,The General American English phonemic transcription for 'casimir' is /ˈkæzəmɪɹ/.,gpt-4o
cassie,kˈæsi,/kæsi/,gpt-4o
castrato,kɑstɹˈɑːtoʊ,/kæˈstɹɑtoʊ/,gpt-4o
castries,kˈæstɹiz,The General American English phonemic transcription for 'castries' is /ˈkæstriːz/.,gpt-4o
cataclysm,kˈætəklˌɪsəm,/ˈkætəˌklɪzəm/,gpt-4o
catapult,kˈætəpˌʌlt,/kætəˌpʌlt/,gpt-4o
catechumen,kˈætəkˌʌmbən,/kætəˈkjumən/,gpt-4o
caterwauling,kˈætɚwˌɔlɪŋ,/ˈkætɚˌwɑlɪŋ/,gpt-4o
cathepsin,kˈæθəpsən,/kəˈθɛpsɪn/,gpt-4o
cation,kˈæʃən,/kæˈtaɪən/,gpt-4o
catnip,kˈætnɪp,/ˈkætnɪp/,gpt-4o
cattery,kˈætɚi,/ˈkætəɹi/,gpt-4o
cavort,kəvˈɔːɹt,/kəˈvɔɹt/,gpt-4o
caz,kˈɑːz,/kæz/,gpt-4o
ccitt,kˈɪts,"The word 'ccitt' does not have a standard pronunciation in General American English, as it appears to be an acronym or abbreviation rather than a typical English word. Therefore, it does not have a phonemic transcription in GAE. If you meant a different word or need assistance with a specific acronym, please provide more context.",gpt-4o
cedi,sˈiːdi,The General American English phonemic transcription for 'cedi' is /ˈsidi/.,gpt-4o
cedilla,sɛdˈɪlə,/səˈdɪlə/,gpt-4o
cefepime,sˈɛfəpˌaɪm,/səˈfɛpiːm/,gpt-4o
celesta,sɪlˈɛstə,/səˈlɛstə/,gpt-4o
cense,sˈɛns,/sɛns/,gpt-4o
censorious,sˌɛnsˈɔːɹiəs,/sɛnˈsɔɹiəs/,gpt-4o
