grapheme,ground_truth_phoneme,predicted_phoneme,model
bling,blˈaɪn,/blɪŋ/,gpt-4o
bliss,blˈɪs,/blɪs/,gpt-4o
blitz,blˈɪts,/blɪts/,gpt-4o
blow,blˈoʊ,/bloʊ/,gpt-4o
blown,blˈoʊn,/bloʊn/,gpt-4o
blows,blˈoʊz,/bloʊz/,gpt-4o
bondage,bˈɑːndɪdʒ,/ˈbɑndɪdʒ/,gpt-4o
bonus,bˈoʊnəs,/ˈboʊnəs/,gpt-4o
boone,bˈuːn,/bun/,gpt-4o
boot,bˈuːt,/but/,gpt-4o
boots,bˈuːts,/buts/,gpt-4o
bordeaux,bɔɹdˈoʊ,/bɔɹˈdoʊ/,gpt-4o
border,bˈɔːɹdɚ,/ˈbɔɹdɚ/,gpt-4o
borders,bˈɔːɹdɚz,/ˈbɔɹdɚz/,gpt-4o
born,bˈɔːɹn,/bɔɹn/,gpt-4o
bottom,bˈɑːtəm,/ˈbɑtəm/,gpt-4o
bottoms,bˈɑːtəmz,/ˈbɑtəmz/,gpt-4o
box,bˈɑːks,/bɑks/,gpt-4o
boxes,bˈɑːksəz,/ˈbɑksɪz/,gpt-4o
boxing,bˈɑːksɪŋ,/ˈbɑksɪŋ/,gpt-4o
brass,bɹˈæs,/bræs/,gpt-4o
breeze,bɹˈiːz,/briz/,gpt-4o
brett,bɹˈɛt,/brɛt/,gpt-4o
brewing,bɹˈuːɪŋ,/ˈbɹuɪŋ/,gpt-4o
bridal,bɹˈaɪdəl,/ˈbɹaɪdəl/,gpt-4o
brigade,bɹəgˈeɪd,/brɪˈɡeɪd/,gpt-4o
brit,bɹˈɪt,/brɪt/,gpt-4o
broker,bɹˈoʊkɚ,/ˈbroʊkɚ/,gpt-4o
brotherhood,bɹˈʌðɚhˌʊd,/ˈbrʌðɚˌhʊd/,gpt-4o
brutal,bɹˈuːtəl,/ˈbɹutəl/,gpt-4o
bulk,bˈʌlk,/bʌlk/,gpt-4o
bunny,bˈʌni,/ˈbʌni/,gpt-4o
burst,bˈɚst,/bɝst/,gpt-4o
bursting,bˈɚstɪŋ,/ˈbɜrstɪŋ/,gpt-4o
burundi,bɚˈʌndi,/bəˈɹʊndi/,gpt-4o
businesses,bˈɪznəsəz,/ˈbɪznəsɪz/,gpt-4o
but,bˈʌt,/bʌt/,gpt-4o
by,bˈaɪ,/baɪ/,gpt-4o
bye,bˈaɪ,/baɪ/,gpt-4o
bypass,bˈaɪpˌæs,/ˈbaɪˌpæs/,gpt-4o
cafe,kəfˈeɪ,/kæˈfeɪ/,gpt-4o
calculator,kˈælkjəlˌeɪtɚ,/ˈkælkjəˌleɪtɚ/,gpt-4o
calibration,kˌæləbɹˈeɪʃən,/kæləˈbɹeɪʃən/,gpt-4o
caller,kˈɔːlɚ,/ˈkɔlər/,gpt-4o
calorie,kˈælɚi,/ˈkæləri/,gpt-4o
cambridge,kˈeɪmbɹɪdʒ,/ˈkeɪmbrɪdʒ/,gpt-4o
came,kˈeɪm,/keɪm/,gpt-4o
capital,kˈæpətəl,/ˈkæpɪtəl/,gpt-4o
catalyst,kˈætələst,/ˈkætəlɪst/,gpt-4o
cautious,kˈɔːʃəs,/ˈkɔʃəs/,gpt-4o
cd,sˈiːdˈiː,- NONE,gpt-4o
cecilia,sɪsˈiːljə,/səˈsɪliə/,gpt-4o
centennial,sɛntˈɛniəl,/sɛnˈtɛniəl/,gpt-4o
centre,sˈɛntɚ,/sɛntɚ/,gpt-4o
centres,sˈɛntɚz,/ˈsɛntɚz/,gpt-4o
certainty,sˈɚtənti,/ˈsɝtnti/,gpt-4o
chang,tʃˈæŋ,- NONE,gpt-4o
characteristic,kˌɛɹəktɚˈɪstɪk,/ˌkɛɹɪktəˈɹɪstɪk/,gpt-4o
chat,tʃˈæt,/tʃæt/,gpt-4o
chats,tʃˈæts,/tʃæts/,gpt-4o
chatting,tʃˈætɪŋ,/ˈtʃætɪŋ/,gpt-4o
cheat,tʃˈiːt,/tʃit/,gpt-4o
cheating,tʃˈiːtɪŋ,/ˈtʃitɪŋ/,gpt-4o
cheats,tʃˈiːts,/tʃits/,gpt-4o
chef,ʃˈɛf,/ʃɛf/,gpt-4o
chest,tʃˈɛst,/tʃɛst/,gpt-4o
chests,tʃˈɛsts,/tʃɛsts/,gpt-4o
chevron,ʃˈɛvɹən,/ˈʃɛvɹən/,gpt-4o
chic,ʃˈiːk,/ʃik/,gpt-4o
chicken,tʃˈɪkən,/ˈtʃɪkən/,gpt-4o
chickens,tʃˈɪkənz,/ˈtʃɪkənz/,gpt-4o
chrome,kɹˈoʊm,/kɹoʊm/,gpt-4o
clash,klˈæʃ,/klæʃ/,gpt-4o
clearance,klˈɪɹəns,/ˈklɪɹəns/,gpt-4o
climax,klˈaɪmˌæks,/ˈklaɪmæks/,gpt-4o
clinton,klˈɪntən,/ˈklɪntən/,gpt-4o
cloves,klˈoʊvz,/kloʊvz/,gpt-4o
clutter,klˈʌtɚ,/ˈklʌtɚ/,gpt-4o
coalition,kˌoʊəlˈɪʃən,/ˌkoʊəˈlɪʃən/,gpt-4o
code,kˈoʊd,/koʊd/,gpt-4o
codes,kˈoʊdz,/koʊdz/,gpt-4o
col,kˈoʊl,/kɑl/,gpt-4o
cole,kˈoʊl,/koʊl/,gpt-4o
colleague,kˈɑːlig,/ˈkɑliɡ/,gpt-4o
colleagues,kˈɑːligz,/ˈkɑliɡz/,gpt-4o
collected,kəlˈɛktəd,/kəˈlɛktɪd/,gpt-4o
collecting,kəlˈɛktɪŋ,/kəˈlɛktɪŋ/,gpt-4o
color,kˈʌlɚ,/ˈkʌlɚ/,gpt-4o
colored,kˈʌlɚd,/ˈkʌlɚd/,gpt-4o
colors,kˈʌlɚz,/ˈkʌlərz/,gpt-4o
comeback,kˈʌmbˌæk,/ˈkʌmbæk/,gpt-4o
comet,kˈɑːmət,/ˈkɑmɪt/,gpt-4o
comfy,kˈʌmfi,/ˈkʌmfi/,gpt-4o
commerce,kˈɑːmɚs,/ˈkɑːmɜːrs/,gpt-4o
commonly,kˈɑːmənli,/ˈkɑmənli/,gpt-4o
commute,kəmjˈuːt,/kəˈmjut/,gpt-4o
comp,kˈɑːmp,/kɑmp/,gpt-4o
compartment,kəmpˈɑːɹtmənt,/kəmˈpɑɹtmənt/,gpt-4o
complaints,kəmplˈeɪnts,/kəmˈpleɪnts/,gpt-4o
completely,kəmplˈiːtli,/kəmˈplitli/,gpt-4o
compute,kəmpjˈuːt,/kəmˈpjut/,gpt-4o
computing,kəmpjˈuːtɪŋ,/kəmˈpjutɪŋ/,gpt-4o
con,kˈɑːn,/kɑn/,gpt-4o
conclude,kənklˈuːd,/kənˈklud/,gpt-4o
concluded,kənklˈuːdəd,/kənˈkludɪd/,gpt-4o
concludes,kənklˈuːdz,/kənˈkludz/,gpt-4o
condominium,kˌɑndəmˈɪniəm,/ˌkɑndəˈmɪniəm/,gpt-4o
confession,kənfˈɛʃən,/kənˈfɛʃən/,gpt-4o
confetti,kənfˈɛti,/kənˈfɛti/,gpt-4o
configure,kənfˈɪgjɚ,/kənˈfɪɡjɚ/,gpt-4o
connections,kənˈɛkʃənz,/kəˈnɛkʃənz/,gpt-4o
consent,kənsˈɛnt,/kənˈsɛnt/,gpt-4o
consider,kənsˈɪdɚ,/kənˈsɪdɚ/,gpt-4o
consideration,kənsˌɪdɚˈeɪʃən,/kənˌsɪdəˈɹeɪʃən/,gpt-4o
consideration,kənsˌɪdɚˈeɪʃən,/kənˌsɪdəˈɹeɪʃən/,gpt-4o
considered,kənsˈɪdɚd,/kənˈsɪdɚd/,gpt-4o
considering,kənsˈɪdɚɪŋ,/kənˈsɪdɚɪŋ/,gpt-4o
considers,kənsˈɪdɚz,/kənˈsɪdɚz/,gpt-4o
constitute,kˈɑːnstətˌut,/ˈkɑnstɪˌtut/,gpt-4o
constitutes,kˈɑːnstətˌuts,/ˈkɑnstɪˌtuts/,gpt-4o
consumption,kənsˈʌmpʃən,/kənˈsʌmpʃən/,gpt-4o
contingent,kəntˈɪndʒənt,/kənˈtɪndʒənt/,gpt-4o
continuously,kəntˈɪnjuəsli,/kənˈtɪnjuəsli/,gpt-4o
continuum,kəntˈɪnjuəm,/kənˈtɪnjuəm/,gpt-4o
controller,kəntɹˈoʊlɚ,/kənˈtɹoʊlɚ/,gpt-4o
converted,kənvˈɚtɪd,/kənˈvɝtɪd/,gpt-4o
convince,kənvˈɪns,/kənˈvɪns/,gpt-4o
convinced,kənvˈɪnst,/kənˈvɪnst/,gpt-4o
convincing,kənvˈɪnsɪŋ,/kənˈvɪnsɪŋ/,gpt-4o
cookbook,kˈʊkbˌʊk,/ˈkʊkbʊk/,gpt-4o
cooker,kˈʊkɚ,/ˈkʊkɚ/,gpt-4o
cookies,kˈʊkiz,/ˈkʊkiz/,gpt-4o
cor,kˈɔːɹ,NONE,gpt-4o
corrections,kɚˈɛkʃənz,/kəˈɹɛkʃənz/,gpt-4o
correspondent,kˌɔɹəspˈɑːndənt,/ˌkɔrəˈspɑndənt/,gpt-4o
corruption,kɚˈʌpʃən,/kəˈɹʌpʃən/,gpt-4o
cosy,kˈoʊzi,/ˈkoʊzi/,gpt-4o
cougar,kˈuːgɚ,/ˈkuɡɚ/,gpt-4o
counter,kˈaʊntɚ,/ˈkaʊntɚ/,gpt-4o
countries,kˈʌntɹiz,/ˈkʌntriz/,gpt-4o
courses,kˈɔːɹsəz,/ˈkɔɹsɪz/,gpt-4o
courteous,kˈɚtiəs,/ˈkɜrtiəs/,gpt-4o
cpu,kˈuː,- NONE,gpt-4o
cradle,kɹˈeɪdəl,/ˈkɹeɪdəl/,gpt-4o
crash,kɹˈæʃ,/kɹæʃ/,gpt-4o
crashed,kɹˈæʃt,/kræʃt/,gpt-4o
crashes,kɹˈæʃɪz,/ˈkɹæʃɪz/,gpt-4o
crashing,kɹˈæʃɪŋ,/ˈkɹæʃɪŋ/,gpt-4o
crazy,kɹˈeɪzi,/ˈkɹeɪzi/,gpt-4o
creamy,kɹˈiːmi,/ˈkɹimi/,gpt-4o
creed,kɹˈiːd,/kɹid/,gpt-4o
creep,kɹˈiːp,/kɹip/,gpt-4o
crest,kɹˈɛst,/kɹɛst/,gpt-4o
crib,kɹˈɪb,/krɪb/,gpt-4o
cricket,kɹˈɪkət,/ˈkrɪkɪt/,gpt-4o
criminal,kɹˈɪmənəl,/ˈkrɪmɪnəl/,gpt-4o
croatian,kɹoʊˈeɪʃən,/kroʊˈeɪʃən/,gpt-4o
crochet,kɹoʊʃˈeɪ,/kroʊˈʃeɪ/,gpt-4o
crush,kɹˈʌʃ,/krʌʃ/,gpt-4o
crushed,kɹˈʌʃt,/krʌʃt/,gpt-4o
crushing,kɹˈʌʃɪŋ,/ˈkɹʌʃɪŋ/,gpt-4o
cubic,kjˈuːbɪk,/ˈkjubɪk/,gpt-4o
cuisine,kwɪzˈiːn,/kwɪˈzin/,gpt-4o
cumming,kˈʌmɪŋ,/kʌmɪŋ/,gpt-4o
custody,kˈʌstədi,/ˈkʌstədi/,gpt-4o
customer,kˈʌstəmɚ,/ˈkʌstəmɚ/,gpt-4o
customers,kˈʌstəmɚz,/ˈkʌstəmɚz/,gpt-4o
cutter,kˈʌtɚ,/ˈkʌtɚ/,gpt-4o
cylinder,sˈɪləndɚ,/ˈsɪlɪndɚ/,gpt-4o
dame,dˈeɪm,/deɪm/,gpt-4o
dare,dˈɛɹ,/dɛɹ/,gpt-4o
death,dˈɛθ,/dɛθ/,gpt-4o
debit,dˈɛbɪt,/ˈdɛbɪt/,gpt-4o
debut,deɪbjˈuː,/deɪˈbju/,gpt-4o
debuts,dˈeɪbjuz,/deɪˈbjuːz/,gpt-4o
decay,dəkˈeɪ,/dɪˈkeɪ/,gpt-4o
decide,dɪsˈaɪd,/dɪˈsaɪd/,gpt-4o
deciding,dəsˈaɪdɪŋ,/dɪˈsaɪdɪŋ/,gpt-4o
delaware,dˈɛləwˌɛɹ,/ˈdɛləˌwɛɹ/,gpt-4o
deli,dˈɛli,/ˈdɛli/,gpt-4o
deliver,dɪlˈɪvɚ,/dɪˈlɪvɚ/,gpt-4o
delivered,dɪlˈɪvɚd,/dɪˈlɪvɚd/,gpt-4o
delta,dˈɛltə,/ˈdɛltə/,gpt-4o
demo,dˈɛmoʊ,/ˈdɛmoʊ/,gpt-4o
democratic,dˌɛməkɹˈætɪk,/dɛməˈkrætɪk/,gpt-4o
demos,dˈɛmˌoʊz,/ˈdɛmoʊz/,gpt-4o
denver,dˈɛnvɚ,/ˈdɛnvɚ/,gpt-4o
depression,dɪpɹˈɛʃən,/dɪˈprɛʃən/,gpt-4o
derry,dˈɛɹi,/ˈdɛɹi/,gpt-4o
design,dɪzˈaɪn,/dɪˈzaɪn/,gpt-4o
designed,dɪzˈaɪnd,/dɪˈzaɪnd/,gpt-4o
designs,dɪzˈaɪnz,/dɪˈzaɪnz/,gpt-4o
dessert,dɪzˈɚt,/dɪˈzɝt/,gpt-4o
determine,dətˈɚmən,/dɪˈtɜːrmɪn/,gpt-4o
determined,dɪtˈɚmənd,/dɪˈtɝmɪnd/,gpt-4o
devotional,dɪvˈoʊʃənəl,/dɪˈvoʊʃənəl/,gpt-4o
differentiate,dˌɪfɚˈɛnʃiˌeɪt,/dɪfəˈɹɛnʃiˌeɪt/,gpt-4o
dirty,dˈɚti,/ˈdɝti/,gpt-4o
disc,dˈɪsk,/dɪsk/,gpt-4o
disciplinary,dˈɪsəplənˌɛɹi,/ˈdɪsəplɪˌnɛɹi/,gpt-4o
discoveries,dɪskˈʌvɚiz,/dɪsˈkʌvəriz/,gpt-4o
discreet,dɪskɹˈiːt,/dɪˈskɹit/,gpt-4o
discussion,dɪskˈʌʃən,/dɪˈskʌʃən/,gpt-4o
disney,dˈɪzni,/ˈdɪzni/,gpt-4o
disneyland,dˈɪznilˌænd,/ˈdɪzniˌlænd/,gpt-4o
dispose,dɪspˈoʊz,/dɪsˈpoʊz/,gpt-4o
disruption,dɪsɹˈʌpʃən,/dɪsˈɹʌpʃən/,gpt-4o
distinctive,dɪstˈɪŋktɪv,/dɪˈstɪŋktɪv/,gpt-4o
distinguish,dɪstˈɪŋgwɪʃ,/dɪˈstɪŋɡwɪʃ/,gpt-4o
distinguished,dɪstˈɪŋgwɪʃt,/dɪˈstɪŋɡwɪʃt/,gpt-4o
dna,dˈiːˌɛnˈeɪ,- NONE,gpt-4o
doubt,dˈaʊt,/daʊt/,gpt-4o
doubts,dˈaʊts,/daʊts/,gpt-4o
dough,dˈoʊ,/doʊ/,gpt-4o
dozen,dˈʌzən,/ˈdʌzən/,gpt-4o
dramatic,dɹəmˈætɪk,/drəˈmætɪk/,gpt-4o
dug,dˈʌg,/dʌɡ/,gpt-4o
duke,dˈuːk,/djuk/,gpt-4o
dummies,dˈʌmiz,/ˈdʌmiz/,gpt-4o
dummy,dˈʌmi,/ˈdʌmi/,gpt-4o
dunk,dˈʌŋk,/dʌŋk/,gpt-4o
duplication,djˌupləkˈeɪʃən,/ˌduplɪˈkeɪʃən/,gpt-4o
dust,dˈʌst,/dʌst/,gpt-4o
dwarf,dwˈɔːɹf,/dwɔɹf/,gpt-4o
dynasty,dˈaɪnəsti,/ˈdaɪnəsti/,gpt-4o
earn,ˈɚn,/ɝn/,gpt-4o
earned,ˈɚnd,/ɝnd/,gpt-4o
earns,ˈɚnz,/ɝnz/,gpt-4o
easton,ˈiːstən,/ˈistən/,gpt-4o
ecological,ikəlˈɑːdʒɪkəl,/ˌikəˈlɑdʒɪkəl/,gpt-4o
ecuador,ˈɛkwədˌɔɹ,/ˈɛkwədɔɹ/,gpt-4o
edgar,ˈɛdgɚ,/ˈɛdɡɚ/,gpt-4o
eileen,aɪlˈiːn,/aɪˈliːn/,gpt-4o
elder,ˈɛldɚ,/ˈɛldɚ/,gpt-4o
elderly,ˈɛldɚli,/ˈɛldɚli/,gpt-4o
elders,ˈɛldɚz,/ˈɛldɚz/,gpt-4o
election,ɪlˈɛkʃən,/ɪˈlɛkʃən/,gpt-4o
electrical,ɪlˈɛktɹɪkəl,/ɪˈlɛktrɪkəl/,gpt-4o
elm,ˈɛlm,/ɛlm/,gpt-4o
elusive,ɪlˈuːsɪv,/ɪˈlusɪv/,gpt-4o
emerald,ˈɛmɹəld,/ˈɛmɚəld/,gpt-4o
engagement,ɛngˈeɪdʒmənt,/ɪnˈɡeɪdʒmənt/,gpt-4o
enhance,ɛnhˈæns,/ɪnˈhæns/,gpt-4o
enthusiastic,ɪnθˌuziˈæstɪk,/ɪnˌθuziˈæstɪk/,gpt-4o
enzyme,ˈɛnzˌaɪm,/ˈɛnzaɪm/,gpt-4o
equally,ˈiːkwəli,/ˈikwəli/,gpt-4o
equip,ɪkwˈɪp,/ɪˈkwɪp/,gpt-4o
equipped,ɪkwˈɪpt,/ɪˈkwɪpt/,gpt-4o
erin,ˈɛɹɪn,/ˈɛrɪn/,gpt-4o
erosion,ɪɹˈoʊʒən,/ɪˈɹoʊʒən/,gpt-4o
essentially,ɪsˈɛnʃəli,/ɪˈsɛnʃəli/,gpt-4o
estate,ɪstˈeɪt,/ɪˈsteɪt/,gpt-4o
estimation,ˌɛstəmˈeɪʃən,/ˌɛstəˈmeɪʃən/,gpt-4o
estonia,ɛstˈoʊniə,/ɛˈstoʊniə/,gpt-4o
europa,jʊɹˈoʊpə,- NONE,gpt-4o
examined,ɪgzˈæmənd,/ɪɡˈzæmɪnd/,gpt-4o
examining,ɪgzˈæmɪnɪŋ,/ɪɡˈzæmɪnɪŋ/,gpt-4o
exceed,ɪksˈiːd,/ɪkˈsid/,gpt-4o
exceeding,ɪksˈiːdɪŋ,/ɪkˈsidɪŋ/,gpt-4o
excel,ɪksˈɛl,/ɪkˈsɛl/,gpt-4o
exceptions,ɪksˈɛpʃənz,/ɪkˈsɛpʃənz/,gpt-4o
excited,ɪksˈaɪtəd,/ɪkˈsaɪtɪd/,gpt-4o
exciting,ɪksˈaɪtɪŋ,/ɪkˈsaɪtɪŋ/,gpt-4o
expansive,ɪkspˈænsɪv,/ɪkˈspænsɪv/,gpt-4o
expectation,ˌɛkspɛktˈeɪʃən,/ˌɛkspɛkˈteɪʃən/,gpt-4o
experiential,ɛkspˌɛɹiˈɛnʃəl,/ɪkˌspɪriˈɛnʃəl/,gpt-4o
explained,ɪksplˈeɪnd,/ɪkˈspleɪnd/,gpt-4o
exploration,ˌɛksplɚˈeɪʃən,/ˌɛkspləˈɹeɪʃən/,gpt-4o
expressive,ɪkspɹˈɛsɪv,/ɪkˈspɹɛsɪv/,gpt-4o
extras,ˈɛkstɹəz,/ˈɛkstrəz/,gpt-4o
eyebrows,ˈaɪbɹˌaʊz,/ˈaɪˌbɹaʊz/,gpt-4o
fa,fˈɑː,- NONE,gpt-4o
facial,fˈeɪʃəl,/ˈfeɪʃəl/,gpt-4o
fandom,fˈændəm,/ˈfændəm/,gpt-4o
father,fˈɑːðɚ,/ˈfɑðɚ/,gpt-4o
fathers,fˈɑːðɚz,/ˈfɑðɚz/,gpt-4o
fed,fˈɛd,/fɛd/,gpt-4o
feeding,fˈiːdɪŋ,/ˈfidɪŋ/,gpt-4o
fictional,fˈɪkʃənəl,/ˈfɪkʃənəl/,gpt-4o
fifty,fˈɪfti,/ˈfɪfti/,gpt-4o
filler,fˈɪlɚ,/ˈfɪlɚ/,gpt-4o
fin,fˈɪn,/fɪn/,gpt-4o
final,fˈaɪnəl,/ˈfaɪnəl/,gpt-4o
firm,fˈɚm,/fɝm/,gpt-4o
firstly,fˈɚstli,/ˈfɝstli/,gpt-4o
fitness,fˈɪtnəs,/ˈfɪtnəs/,gpt-4o
flawless,flˈɔːləs,/ˈflɔləs/,gpt-4o
flint,flˈɪnt,/flɪnt/,gpt-4o
foolish,fˈuːlɪʃ,/ˈfuːlɪʃ/,gpt-4o
formation,fɔɹmˈeɪʃən,/fɔɹˈmeɪʃən/,gpt-4o
fraction,fɹˈækʃən,/ˈfɹækʃən/,gpt-4o
frances,fɹˈænsɪs,/frænsɪs/,gpt-4o
frederick,fɹˈɛdɹɪk,/ˈfrɛdərɪk/,gpt-4o
freshman,fɹˈɛʃmən,/ˈfrɛʃmən/,gpt-4o
frost,fɹˈɔːst,/frɔst/,gpt-4o
frustration,fɹəstɹˈeɪʃən,/frʌˈstreɪʃən/,gpt-4o
fullest,fˈʊləst,/ˈfʊlɪst/,gpt-4o
furnished,fˈɚnɪʃt,/ˈfɜrnɪʃt/,gpt-4o
fuse,fjˈuːz,/fjuz/,gpt-4o
fuses,fjˈuːzəz,/ˈfjuzɪz/,gpt-4o
fyi,fˈaɪ,- NONE,gpt-4o
gaga,gˈeɪgə,/ˈɡɑɡɑ/,gpt-4o
galore,gəlˈɔːɹ,/gəˈlɔɹ/,gpt-4o
game,gˈeɪm,/geɪm/,gpt-4o
games,gˈeɪmz,/geɪmz/,gpt-4o
gaming,gˈeɪmɪŋ,/ˈɡeɪmɪŋ/,gpt-4o
gaping,gˈeɪpɪŋ,/ˈɡeɪpɪŋ/,gpt-4o
genre,ʒˈɑːnɹə,/ˈʒɑnrə/,gpt-4o
ghetto,gˈɛtoʊ,/ˈɡɛtoʊ/,gpt-4o
gift,gˈɪft,/ɡɪft/,gpt-4o
gifted,gˈɪftəd,/ˈɡɪftɪd/,gpt-4o
gifting,gˈɪftɪŋ,/ˈɡɪftɪŋ/,gpt-4o
gifts,gˈɪfts,/ɡɪfts/,gpt-4o
gingerbread,dʒˈɪndʒɚbɹˌɛd,/ˈdʒɪndʒərˌbrɛd/,gpt-4o
girls,gˈɚlz,/ɡɝlz/,gpt-4o
glaze,glˈeɪz,/ɡleɪz/,gpt-4o
glazed,glˈeɪzd,/ɡleɪzd/,gpt-4o
glazing,glˈeɪzɪŋ,/ˈɡleɪzɪŋ/,gpt-4o
glimpse,glˈɪmps,/glɪmps/,gpt-4o
global,glˈoʊbəl,/ˈɡloʊbəl/,gpt-4o
glory,glˈɔːɹi,/ˈɡlɔɹi/,gpt-4o
gotta,gˈɑːtə,/ˈɡɑtə/,gpt-4o
gov,gˈʌv,- NONE,gpt-4o
governments,gˈʌvɚmənts,/ˈɡʌvɚnmənts/,gpt-4o
grace,gɹˈeɪs,/ɡɹeɪs/,gpt-4o
greatest,gɹˈeɪtəst,/ˈɡɹeɪtəst/,gpt-4o
greatly,gɹˈeɪtli,/ˈɡɹeɪtli/,gpt-4o
group,gɹˈuːp,/ɡruːp/,gpt-4o
grouped,gɹˈuːpt,/ɡɹupt/,gpt-4o
